127.0.0.1 - - [04/Jun/2020:19:02:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:02:32 +0900] "GET /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:02:32 +0900] "GET /Member/script/member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:02:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:02:40 +0900] "GET /Member/idCheck.do?userid=hkd HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:13:24 +0900] "GET /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:13:26 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:13:30 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:18 +0900] "GET /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:20 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:21 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:21 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:22 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:22 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:22 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:43 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:43 +0900] "GET /Member/script/member.js HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:48 +0900] "GET /Member/idCheck.do?userid=somi HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:49 +0900] "GET /Member/idCheck.do?userid=somi HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:15:51 +0900] "GET /Member/idCheck.do?userid=dfdf HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:16:14 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:16:14 +0900] "GET /Member/script/member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:16:33 +0900] "GET /Member/idCheck.do?userid=1111 HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [04/Jun/2020:19:16:35 +0900] "POST /Member/join.do HTTP/1.1" 200 1580
